"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"02/10/2024","134,462.0","133,667.0","134,958.0","133,667.0","1.72M","-0.37%"
"01/10/2024","134,958.0","133,767.0","135,256.0","133,767.0","4.73M","1.04%"
"30/09/2024","133,568.0","133,270.0","133,568.0","132,078.0","3.03M","0.22%"
"27/09/2024","133,270.0","133,369.0","133,469.0","132,575.0","3.35M","-0.07%"
"26/09/2024","133,369.0","134,064.0","134,064.0","132,972.0","2.82M","-0.37%"
"25/09/2024","133,866.0","133,369.0","133,866.0","132,674.0","4.48M","0.22%"
"24/09/2024","133,568.0","133,071.0","133,767.0","132,773.0","2.01M","0.37%"
"23/09/2024","133,071.0","134,958.0","134,958.0","132,476.0","2.44M","-0.96%"
"20/09/2024","134,362.0","135,355.0","136,051.0","134,064.0","3.72M","0.07%"
"19/09/2024","134,263.0","134,064.0","134,859.0","133,369.0","5.15M","0.45%"
"18/09/2024","133,667.0","132,476.0","134,263.0","131,979.0","5.38M","1.28%"
"17/09/2024","131,979.0","130,291.0","131,979.0","130,291.0","2.65M","1.37%"
"16/09/2024","130,191.0","130,887.0","132,078.0","130,191.0","1.92M","-1.43%"
"13/09/2024","132,078.0","131,284.0","132,476.0","131,085.0","3.19M","0.53%"
"12/09/2024","131,383.0","130,092.0","131,582.0","130,092.0","4.12M","1.30%"
"11/09/2024","129,695.0","129,099.0","130,390.0","128,900.0","3.19M","0.46%"
"10/09/2024","129,099.0","130,092.0","130,092.0","128,702.0","4.20M","-0.99%"
"09/09/2024","130,390.0","129,894.0","130,986.0","129,198.0","2.89M","-0.61%"
"06/09/2024","131,185.0","129,596.0","131,979.0","129,397.0","3.82M","1.15%"
"05/09/2024","129,695.0","132,078.0","132,078.0","128,801.0","8.06M","-1.80%"
"04/09/2024","132,078.0","132,078.0","132,078.0","130,589.0","4.54M","-1.34%"
"30/08/2024","133,866.0","132,575.0","133,965.0","132,078.0","3.32M","0.82%"
"29/08/2024","132,773.0","131,880.0","132,873.0","131,284.0","2.09M","0.30%"
"28/08/2024","132,376.0","132,078.0","133,568.0","131,979.0","2.71M","0.60%"
"27/08/2024","131,582.0","130,589.0","131,681.0","129,496.0","2.34M","0.76%"
"26/08/2024","130,589.0","132,376.0","132,575.0","130,589.0","2.59M","-1.20%"
"23/08/2024","132,178.0","132,773.0","132,773.0","131,482.0","3.06M","-0.52%"
"22/08/2024","132,873.0","133,071.0","133,568.0","132,575.0","3.02M","0.22%"
"21/08/2024","132,575.0","129,695.0","132,873.0","129,695.0","6.12M","1.52%"
"20/08/2024","130,589.0","129,794.0","131,582.0","129,794.0","3.74M","0.77%"
"19/08/2024","129,596.0","130,191.0","130,489.0","129,099.0","2.50M","-0.08%"
"16/08/2024","129,695.0","128,205.0","130,092.0","128,205.0","5.09M","1.48%"
"15/08/2024","127,808.0","128,205.0","128,603.0","127,312.0","2.26M","-0.62%"
"14/08/2024","128,603.0","129,794.0","130,589.0","128,603.0","2.86M","-0.15%"
"13/08/2024","128,801.0","128,801.0","129,298.0","127,113.0","4.10M","-0.23%"
"12/08/2024","129,099.0","126,021.0","129,298.0","125,325.0","6.18M","2.44%"
